text,text_unused,bahasa,kitab,allah,arsy,agama,petir,guntur,hujan,awan,angin,arab,warna,hijau,merah,biru,hitam,putih,minyak,karang,tanah,mutiara,kaca,debu,sutra,tanah liat,besi,emas,perak,kuningan,permata,senjata,dirham,tinta,pena,tabut,perahu,kapal,lampu,kunci,tangga,bahtera,masjid,gereja,biara,masjidil haram,masjidil aqsha,kabah,pisau,panah,baju besi,tubuh,badan,penyakit,sakit,makanan,janin,darah,tulang,telinga,mata,jari,dahi,ubun ubun,jantung,hati,dada,punggung,tangan,kaki,perut,lambung,rambut,kulit,leher,dagu,tumit,usus,bibir,hidung,lidah,sayap,rusuk,kusta,daging,madu,susu,garam,roti,khamar,gandum,daging babi,bangkai,burung,tanaman,binatang,ikan,belalang,lebah,laba laba,semut,kutu,nyamuk,lalat,gagak,salwa,hud hud,kebun,mentimun,kurma,tin,jahe,anggur,sayur,daun,kelopak,mayang,zaitun,bawang,kacang,pohon,delima,unta,sapi,babi,kambing,kuda,singa,keledai,bagal,kera,serigala,katak,domba,ular,anjing,malaikat,jin,manusia,binatang melata,jibril,malaikat maut,harut,marut,malik,mikail,syaitan,iblis,raja,anak adam,nabi,firaun,uzair,luqman,jalut,dzulkifli,samiri,thalut,karun,dzulkarnain,haman,aad,tsamud,madyan,quraisy,romawi,anshar,badui,tubba,bani israil,yajuj,majuj,orang yang mendiami gua,tentara bergajah,orang yang membuat parit,penduduk rass,penduduk aikah,al hijr,abu lahab,rasul,zakaria,yahya,harun,idris,ilyasa,ayyub,adam,daud,sulaiman,yusuf,yaqub,ishaq,habil,qabil,israil,aazar,muhammad,isa,ibrahim,ismail,shaleh,hud,syuaib,yunus,musa,nuh,luth,ilyas,ahmad,zaid,maryam,al masih,quran,injil,zabur,taurat,islam,nasrani,yahudi,shabiin,majusi,bulan,bumi,matahari,bintang,syira,gugusan bintang,al uzza,manat,al lata,suwwa,baal,nasr,wadd,yaghuts,yauq,berhala,lembu,akhirat,jahiliyah,jumat,sabtu,haji,umrah,malam kemuliaan,ramadhan,fajar,kebangkitan,hari kiamat,surga,neraka,firdaus,adn,pohon bidara,salsabil,sijjin,saqar,zaqqum,api yang bergejolak,ufuk,kiblat,dusun,kota,gunung,badar,mekah,baitullah,madinah,babil,hunain,iram,yastrib,shafa,marwa,arafah,sinai,bukit judi,mesir,saba,al ahqaf,imran,keluarga,ayah,ibu,bapak,anak,yatim,saudara,budak,laki,perempuan,harta,niaga,jual beli,hutang,riba,dagang,ibadah,shalat,puasa,zakat,sedekah,negara,bangsa,hukum,adil,kisah,hikmah,ilmu,perang,zalim
kemudian datang perintah allah jadi oleh rumahrumahmu tempat shalat diri oleh sembahyang gembira orangorang iman qsyunus ayat 87 mujahid kata makna ini rupa tolong allah timpa bahaya sulit sempit banyak shalat jadi sabar shalat tolong sungguh demikian sungguh berat bagi orangorang khusyu qsalbaqarah ayat 45 rasulullah hinggap masalah beliau segera shalat shalat milik dampak besar hidup dunia akhirat albidayah wa annihayah juz 2 105 lama bertahuntahun nabi musa ikut sabar hibur diri iman allah tawakal senantiasa baik hubung allah minta pada shalatshalat mereka di sisi firaun para ikut makin tentang musuh benar,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
musa kata tuhan sungguh engkau beri firaun pemukapemuka kaum hias harta kaya hidup dunia tuhan akibat sesat manusia jalan engkau tuhan binasa harta benda kunci mati hati maka tidak iman hingga lihat siksa pedih qsyunus ayat 88ibnu juraij kata firaun tetap hidup lama 40 tahun nabi musa ucap doa tafsir alquran alazhim imam ibnu kastir lihat nabi musa sabar kaum sendiri betapa sabar beliau hadap kejam firaun dakwah kepada dan doa allah tak heran allah duduk beliau orang ulul azhmi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nama uzair ulama sejarah selisih dapat siapa nama bapak beliau kata jarwah s r q sar y sar kh beliau asal turun all wiyin beliau turun bani israil orangorang yahudi sebut nama izr adapun duduk yahudi madinah sebut uzair sebut lebih tunjuk cinta sebut nama sebut sebut rupa dalam bahasa arab beliau orang nabi ibnu abb s radhiyallahu anhuma kata tahu dia orang nabi bukan ibnu kats r rahimahullah kata masyhur uzair orang nabi nabinabi bani israil beliau hidup antara zaman daw dsulaim n zaman zakariy yahy 4 allahu alam kisah beliau akan sebut istimewa milik uzair mungkin milik orang sh lih biasa dapat kabar masyhur nabi shallallahu alaihi wa sallam sebut bani israil pimpin orang nabi tiap zaman tinggal orang nabi akan ganti nabi lain sungguh bani israil dulu pimpin para nabi satu nabi tinggal ganti nabi lain5 istimewa uzair beliau hafal seluruh isi taurat itu tidak ada orang yang hafal beliau ajar bani israil bimbing dengan taurat kapan beliau hidup mana beliau hidup kira tahun 451 sm pada saat itu kursy raja sia yang ada b bil bebas para tawan bani israil antara tawan sebut uzairbeliau izin kembali yerusalem bangun haikal rumah ibadah orang yahudi6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
sesat orangorang yahudi masalah tentu akidah kata all h azza wa jalla milik anak akidah sangat sesat pula akidah kata semua agama sama all h azza wa jalla sendiri nyata alquran all h milik anak all h azza wa jalla firman all h anak anak alikhl sh1123 all h azza wa jalla sangat marah orangorang kata all h azza wa jalla milik anak all h azza wa jalla firman kata tuhan maha murah ambil punya anak sungguh kalian datang perkara sangat mungkar hampirhampir langit pecah ucap bumi belah gununggunung runtuh dakwa all h maha murah punya anak layak rabb maha murah ambil punya anak tidak ada orang di langit di bumi akan datang rabb maha murah orang hamba sungguh all h tentu jumlah hitung mereka hitung teliti tiaptiap mereka akan datang all h hari kiamat dengan sendirisendiri maryam198895 demikian beberapa jelas ringkas uzair mudahmudahan bisa jadi ajar kita tidak sesat yahudi dan nashrani mudah manfaat,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nasehat luqman lanjut kami perintah manusia buat baik orang ibubapaknya ibu kandung ada lemah bertambahtambah sapih dua tahun syukur kepada dua orang ibu bapak kepada kembali luqman 14 kemudian allah gandeng perintah tauhid perintah bakti orang tua besar hak dua orang tua orang ibu kandung anak penuh susah orang ayah tanggung nafkah keluarga dua hak dapat bakti anak bentuk syukur allah syukur kepada orang tua dua paksa sekutu aku ada tahu itu jangan kamu ikut dua gaul dua dunia baik ikut jalan orang kembali kepada kemudian kepada kembali berita kepada apa telah kamu kerja luqman 15 ibnu katsir rahimahullah kata ringkas jika dua orang tua upaya sepenuh tenaga buat ikut agama yang kufur jangan ikut dua hal tidak halang tetap gaul mereka dengan maruf dunia dengan baik tetap ikut jalan kaum yang iman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
bagai nikmat banyak rasa bani israil sudah patut syukur sang beri nikmat sebut allah subhanahu wataala di padang tih allah subhanahu wataala turun manna salwa saatsaat haus lalu minta nabi musa doa allah subhanahu wataala beri minumallah subhanahu wataala perintah beliau pukul tongkat buah batu hingga pancar 12 lubang air minum belas suku bani israil nikmat tak kalah penting bahkan sangat mulia utus nabi bangkit raja pimpin bimbing tiap kali orang nabi tinggal dunia datang nabi terus lama berabadabad makin lama waktu jalan sejak wafat nabiyullah musa alaihissalam ganti nabi yusya bin nun pimpin bani israil beliau wafat ganti nabi lain ada bani israil makin lemah zaman asbath satu lahir nabinabi turun lewi turun raja turun yahuda tetapi tunjuk tentu raja wewenang nabi atur bimbing betul adalah nabi tinggal nabi yusya menang menang allah subhanahu wataala ikan bani israil mulai telantar ajar wasiat pernah beri oleh nabi yusya bin nun bahkan bagi mulai yang sembah berhala para hakim mampu terap ajar taurat putus soal bani israil pula ada orang nabi yang ajak yang maruf larang mungkar akhir allah subhanahu wataala hukum dengan beri kuasa kepada bangsa lain untuk jajah rampas kaya di negeri sendiri bagi usir kampung halaman pisah istri anakanak mereka bagi lagi ada yang jadi tawan budak buah peperangan tabut taurat rampas dari tangan mereka,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
akibat makin jauh agama ada hafal gelintir orang banyak bunuh jajah putus nabi ada turun lewi lahir nabinabi orang wanita nama hubla turun yahuda lahir rajaraja banyak bunuh semua adalah buah durhaka allah subhanahu wataala tinggal syariat allah subhanahu wataala tidak zalim siapa hamba ada jepit mulai sadar kembali allah l doa allah subhanahu wataala utus orang nabi tengahtengah padahal turun lewi hampir punah tinggal orang wanita nama hubla sedang kandung mula wanita mandul hingga hampir putus asa milik anak suami sang suami punya istri lahir puluh anak lakilaki suami tetapiwanita itu lampau batas hadap rasa lebih banyak anak hubla adu allah l atas kurang mohon beri karunia orang anak allah maha dengar kabul minta wanita sebut hubla akhir kandung beberapa bulan kemudian lahir orang anak nama anak sebut samual allah l dengar doa anak itu makin besar serah orangorang saleh baitil maqdis di rumah suci samual didik ajar taurat samual dewasa allah subhanahu wataala pilih utus nabi beri ingat bani israil mula bani israil dusta ingkar nabi kemudian aku nubuwah samual masamasa itu kuasa amaliqah asalusul duduk mesir makin kuat di bawah pimpin raja jalut goliat asal turun kanan seakanakan lawan mereka rajalela bantai tindas bani israilpara muka bani israil tidak mampu tahan derita dan hina sebut mereka datang kepada nabi samual alaihissalam minta beliau angkat orang raja mereka demikian kisah papar bagi ahli sejarah nukil cerita israiliyat kisah mereka cerita pula di alquranul karim allah subhanahu wataala firman arti,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
kamu perhati pemukapemuka bani israil nabi musa ketika kata orang nabi angkat orang raja perang bawah pimpin jalan allah nabi jawab mungkin sekali kamu wajib perang kamu perang jawab mau perang jalan allah padahal sungguh usir kampung halaman anakanak tatkala perang wajib atas paling beberapa orang allah maha tahu orangorang zalimnabi kata sungguh allah angkat thalut jadi raja kalianmereka jawab bagaimana thalut perintah kami padahal kami lebih hak kendali perintah dari dia beri kaya banyak nabi mereka kata sungguh allah telah pilih jadi raja kalian anugerah ilmu luas tubuh perkasa allah beri perintah siapa hendak allah mahaluas beri maha tahu nabi mereka kata mereka sungguh tanda akan jadi raja ialah kembali tabut kalian dalam dapat tenang rabbmu sisa tinggal keluarga musa dan keluarga harun tabut bawa malaikat sungguh hal dapat tanda bagi kamu orang iman albaqarah 246248 ayat allah subhanahu wataala kisah nabi shallallahu alaihi wasallam para muka bani israil temu nabi mereka saat yaitu samual alaihaissalam lalu kata kepada tunjuk orang raja kamiagar kami perang di jalan allah subhanahu wataala sama akan tetapi sudah paham watak bani israil nabi samual kata bagaimana dalam ayat mungkin sekali kamu wajib perang kamu tidak akan perang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
akan nabi samual ragu janganjangan kalau allah subhanahu wataala pilih orang raja justru tepat janji perang sama raja sebut jadi beliau tawar selamat tetapi mau terima bahkan tetap pegang tekad niat dengar jawab nabi samual alaihissalam kata bagaimana ayat mau perang jalan allah padahal sungguh usir kampung halaman anakanak seolaholah hendak kata halang perang paksa pilih usir negeri sendiri anakanak kami ditawanitulah dorong kami perang walaupun wajib atas kamiketika niat nyata bukan niat baik tawakal kepada allah subhanahu wataala lemah tatkala perang wajib atas paling takut rang musuh sanggup lawan tekad luntur bahkan bagi besar asai sikap lemah kecut hingga tinggal perintah allah subhanahu wataala tetapi beberapa gelintir orang antara mereka lindung allah subhanahu wataala teguh kuat hati mereka sehingga tetap jalan perintah allah subhanahu wataala siap diri hadap musuhmusuhnya dengar tuntut jawab mereka nabi samual kata sungguh allah subhanahu wataala telah angkat thalut jadi raja kalian besar kejut bagaimana mungkin thalut bahasa suryani saul jadi raja bani israil kata mereka kepada nabi mereka bagaimana thalut perintah kamikami asal turun yahuda lahir rajaraja dan kami lebih hak kendali perintah dari juga miskin tidak beri kaya yang banyak dukung kuasa,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
demikian buah raja kuasa dipegangoleh orang punya nasab mulia banyak harta nabi samual alaihaissalam kata sungguh allah subhanahu wataala pilih jadi raja kalian kalian wajib tunduk putus sebut bahkan allah subhanahu wataala anugerah lebih atas kalian upa ilmu fisik kuat akal pikir jasmani dua ini urus buah raja laksana sempurna anda orang raja kuat fisik lemah akal raja jadi rusa kalah simpang syariat milik kuat milik hikmah bijaksana anda orang raja punya ilmu tahu bagai masalah punya kuat terap niscaya buah pikir guna tidak laksana allah subhanahu wataala serah raja siapa hendak tidak perlu ingkar kuasa thalut meski bukan turun yahuda atau lewi itu raja itu betul bukan waris di tangan allah subhanahu wataala ikan siapa hendak allah mahaluas karunia sangat banyak sifat murah tidak khusus rahmat baik orang tentu baik tinggi duduk maupun rendah dia juga maha tahu siapa hak terima utama lalu dia melipatgandakannya kalimat ragu tadi muncul sirna hati sebab terang nabi samual q tegas syarat jadi raja lengkap diri thalut allah subhanahu wataala beri karunia siapa hendak antara hambahambanya ada tolak bahkan tidak ada halang baik jadi duduk raja pegang thalut beri allah subhanahu wataala tentu dia maha tahu maslahat hambahamba nya wallahu alam kemudian nabi samual sebut tanda dapat saksi datang tabut mereka cari cukup lama di dalam tabut itu dapat sakinah yang tenang hati mereka tenteram pikir mereka serta sisa tinggal keluarga nabi musa dan harun e yang bawa malaikat,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
